Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg,ff_x,ff_y
22.74074074074074,29.733333333333334,25.48148148148148,82.4074074074074,7.507407407407407,2.8814814814814818,1.037037037037037,1.701676031871932,-3.944928459189326
22.966666666666665,31.939999999999998,26.056666666666672,83.83333333333333,12.056666666666667,0.4766666666666667,0.5,-0.7314621400818361,-3.04675908391272
21.814814814814813,33.114814814814814,26.00370370370371,75.48148148148148,3.9222222222222225,7.237037037037038,1.1111111111111112,3.4771471187747367,-1.0409895113217367
22.88888888888889,29.629629629629633,25.08518518518519,86.14814814814815,9.448148148148148,2.218518518518519,1.3333333333333333,0.6302785707910792,-3.5744873998220887
22.666666666666668,32.31481481481482,26.055555555555557,84.92592592592592,7.214814814814815,5.92962962962963,1.1111111111111112,2.02150826783729,-2.556614018997137
21.517241379310345,33.66896551724138,25.979310344827578,76.3103448275862,9.327586206896552,7.237931034482758,2.4482758620689653,3.777775638320924,-2.0028498843715186
22.925925925925927,29.6,25.28518518518518,88.11111111111111,15.033333333333335,2.3000000000000007,1.8888888888888888,0.24550038873312036,-4.215078890478688
23.115384615384617,32.04230769230769,26.196153846153848,85.3076923076923,15.35769230769231,4.896153846153846,1.7692307692307692,-0.7140872651858549,-3.8966480929059926
22.69102564102564,30.179487179487175,25.403076923076924,87.42051282051281,19.378846153846155,3.553076923076923,1.2512820512820513,0.0038740622782221148,-3.847433946998939
22.266666666666666,28.316666666666663,24.61,89.53333333333333,23.399999999999995,2.21,0.7333333333333333,0.6803459618373504,-3.670818321572097
23.066666666666666,32.21666666666667,26.256666666666664,85.36666666666666,9.513333333333334,5.733333333333333,2.2,-0.5131879024145115,-4.5041924124005295
21.366666666666667,33.37666666666667,26.286666666666672,72.63333333333334,0.7266666666666667,7.606666666666666,2.6666666666666665,-3.3689232088308536,-3.0333920821601574
22.923076923076923,29.361538461538462,24.96153846153846,89.38461538461539,7.8769230769230765,2.2384615384615385,1.9230769230769231,-1.3053403986330139,-5.6196183244358915
22.636363636363637,32.17272727272728,26.154545454545453,85.0909090909091,17.772727272727273,6.354545454545454,1.4545454545454546,-2.909537456798364,-3.252063053130565
21.8,33.67999999999999,26.26,73.8,15.959999999999999,6.32,2.6,-4.458868952864364,4.01478363815315
23.47826086956522,31.9304347826087,26.239130434782613,87.1304347826087,20.1,5.052173913043478,2.0,-4.567657360091237,3.329200532274014
24.125,32.681250000000006,27.124999999999996,84.375,17.15625,6.10625,1.6875,1.0551431179482496,-4.759443034709676
23.142857142857142,31.766666666666673,26.157142857142855,85.0,15.328571428571426,6.185714285714288,1.8571428571428572,5.777761364001153,-1.2180668177825775
22.88888888888889,30.050000000000004,25.62777777777778,85.55555555555556,5.533333333333334,2.594444444444444,1.7222222222222223,5.445060513771607,-4.659659548988144
23.38888888888889,31.87222222222223,26.233333333333327,84.94444444444444,11.066666666666666,5.205555555555556,1.3888888888888888,3.9346096808222284,-3.4337227025273327
22.5,32.974999999999994,26.549999999999997,75.25,8.75,7.8999999999999995,1.25,5.12555403737965,-1.13630797317504
23.105263157894736,29.542105263157893,25.415789473684207,82.15789473684211,6.284210526315789,1.6263157894736842,2.4210526315789473,2.1143769246115984,-7.2232153216937185
22.818181818181817,32.272727272727266,26.299999999999997,84.9090909090909,24.818181818181817,5.927272727272728,1.6363636363636365,4.043503217928268,-2.783748422599059
22.545454545454547,33.30909090909092,26.118181818181814,76.81818181818181,15.409090909090908,7.081818181818181,2.0,4.878094579695849,-4.364306185197546
23.20666666666666,30.646666666666665,25.720000000000002,87.4,8.853333333333333,3.56,1.1333333333333333,1.462727167187992,-3.43485181807716
23.04,32.54,26.810000000000002,84.3,29.820000000000004,6.409999999999999,1.0,-3.8148678029929077,-1.2028231980170923
21.142857142857142,32.57142857142857,25.97142857142857,77.28571428571429,21.657142857142855,7.757142857142858,1.0,-1.4876013912601997,-3.0890361185225794
23.07777777777778,29.799999999999994,25.72777777777778,90.44444444444444,21.066666666666663,2.966666666666667,1.3333333333333333,0.5797274372289832,-3.9577665543237788
23.527272727272724,32.10000000000001,26.681818181818183,85.18181818181819,23.763636363636365,5.245454545454546,1.5454545454545454,-3.273098984235633,-2.746456150478849
22.400000000000002,33.04545454545455,26.700000000000003,79.36363636363636,15.654545454545454,6.509090909090909,1.6363636363636365,-3.5505652744958813,-2.838070340273014
